Speaker1,Speaker2
where s your mom ?,she died .
to warn him .,of what ?
what s the temperature now ?,fifty degrees below and still falling .
i went over last night too .,i wasn t there last night either .
i m not very good at this mitch .,you re doing fine .
let thy thoughts be guided,what you say ?
this is ridiculous !,tim !
i m not out of shape !,can i have your name please ?
i ll be up in five minutes .,well goodbye then 
yeah . so ?,that s in two days .
no .,why not ?
what s the difference . . .,that s for food .
joe s escaped . dieter s in him .,in him ?
where s mary ?,oh well i can t . . .
on your property ?,yes
hey father ? you like movies ?,very much .
what . . .,the pirate ship .
this is my house too !,and this is my room so get out !
like the guys that attacked us .,what do you mean ?
what else do you care about kicks ?,you . us .
i can t stay here .,you re not going to .
aye ma am .,you are well ?
excuse me ?,several possession charges but nothing major .
it s cold .,tell your mother .
i ll be there .,you bringing your new friend ?
you know what happened to this ?,as much as anybody .
can we get some coffee . . . ?,how ya doing ?
you re too young .,too young for what ?
is eric in school ?,yes .
you re pressuring yourself . . .,no . . .no . . .
any particular reason ?,none at all .
i don t want to go tonight .,you don t have to .
not yet dear brother . . .,send them out !
give him a cup of tea .,do you want a cup of tea ?
i have to talk to her .,she s not here .
kinda .,i don t talk about her that much .
promise ! you gotta promise !,you got it .
drive .,we re not gonna hurt you .
damn .,what the hell s goin on ?
hey it s the general .,colonel . is uhm is otis in ?
hey is that a school ?,k through sixth .
all right .,yeah ? !
it is .,what exactly is he charged with ?
elena . elena hood am i right ?,yes .
prints ?,nothing so far .
fine chief .,gimme the keys .
do you have a hard heart marylin .,did you see the tape ?
oh . . . this and that .,what i ve been doing ?
what ?,you ve got to go to sleep now .
what do you want ? !,who the hell are you talking to ?
thank you comrade thank you .,bring me forty five back .
so what do i do ?,fall in love .
what happened ? where s the rest ?,i guess that s all of it .
what d you mean any happier ?,any happier than any other asshole in life .
where s the other stocker ?,there s another stocker right ?
that obvious huh ?,then you saw him too ?
goodbye ! see you !,i m not so bad .
thank you ., just wonderful .
not too bad .,how bout when you went down the stairs ?
and him ?,big evil ?
what ?,listen !
direct hit ,confirmed captain !
in a month .,i won t come .
do you keep any drugs in your house ?,no . of course not nothing like that .
well ? . . .,i ain t heard of nothin .
i d like to .,oh yeah ?
make any money ?,no .
who did ?,the man .
wait what re you doing ?,i m going down .
no .,i thought your parents were in italy .
then close the case .,i better keep looking .
that d be my guess .,so whoever did this might still be around .
 do you like my tomb ? the museum,
one that looks nice .,of course .
yeah ?,it s terrific .
okay .,when d you get here ?
wouldn t make any difference .,what if i told you not to ?
torch it over there !,the dogs ?
when did you start drinking again ?,a couple days ago .
yes sir name please ?,food !
i don t know .,besides yourself who is his nearest relation ?
yes . i didn t confess today .,right . raymond . . . a priest .
what kind of spaceship is this anyway ?,a spaceship with a missing man .
indefinitely ?,i don t know .
what s it doing ?,why do you all keep asking me ?
stop that !,don t make too much noise miz lampert 
it s wonderful how you keep the tension .,tension ? kurtz suspense .
i ll see ya around huh ?,it s a small town .
ouch !,you see it s not a dream .
he s the kind liked it .,lula i got to get some sleep .
flynn ! !,greetings program . . .
no we don t mind .,good .
sure .,got a license ? but no car ?
yes ?,goodbye .
how old are you captain ?,i ll be twenty next year sir .
next time lets put some money on it .,get him home safe .
do you really think we re fooling anyone ?,do you really think i care ?
i don t know .,which way did she fall ?
how long have you been here ?,maybe ten minutes . . . thatis strange .
and i know what i m talking about .,you like a good saloon ?
bye aunt rita .,bye bye honey . see you tomorrow ?
i want to be an actor .,then express yourself bob .
why did you want her body ?,for a good reason .
you didn t buy batteries ?,i thought they came with batteries .
are you finished ?,in a couple of days this whole thing 
what guy that died ?,that one last week .
yeah ,now what was your news baxter ?
who s driving her ?,i don t know .
that sounds good .,two .
just do it .,i don t know the number .
oh yeah ?,mm mm .
can you help u me u ?, . . . i will .
are you from up there ? space ?,space ?
i know you didn t,you know andy thinks you re doing this .
want to talk about it ?,want to swim home ?
no doubt about that one .,how about magruder ?
absolutely .,why d you want to help us ?
why ?,whatever it is it s dark .
what ? johnny what s wrong ?,it s mom .
you ?,oh work ! !
true .,better ask paul d .
the situation has changed .,that so ?
that s an answer .,damn right .
just a waitress .,you underestimate yourself .
you gonna tell me why ?,no .
this is bullshit man .,what the fuck do you . . .
george . . .,i just have to do one little thing .
well who ? come on you know everybody .,professor saunders over in berkeley .
howard give him the keys . . .,gimme the keys to get outta here !
ida sessions wants to see you .,who ?
are you referring to the background score ?,yes ! ! !
yes darling ?,stuff it .
really ?,it s free to all .
i m vince .,whatever .
oh ,but you couldn t have been could you ?
what do we do now ?,pray he s color blind . . .
yeah ? . . . i do ?,sure you do .
it s really quite all right .,of course .
yeah . are you sure ?,yeah .
what is it ?,let s go upstairs okay ?
yeah . . . she s okay though .,i guess .
 why ? , i have a friend there . 
it was for my report .,what report ? to whom ?
sam !,jack !
should we bring the police into this ?,no not yet .
you don t have a boyfriend ?,no .
you re blind ,there are other ways to see . sit .
sorry . you ve lost me . . .,i m asking what you re here for .
ready for what ? sight seeing ?,the photos .
who for instance ?,in time you will meet them all .
what ?,nerves .
so we better get started .,what about al . . .
what s that ?,quiet mollie !
he s a writer not a madman .,then what s he doing here ?
who is this woman ?,his wife .
we miss you . we miss our son .,we miss our family .
what about larry ,forget him .
no i ve got it .,what happened to your hand ?
i didn t deserve her back then .,and you do now ?
tell em your father gave it to you .,what if they call him ?
can i beg for mercy on my knees ?,if you want to be found that way .
hello ?,hi .
is your security team armed ?,of course . yes .
he only shot you once .,huh ?
come on .,oh shit . oh shit .
a typical fuck up .,what s that supposed to me ?
dinner in ten minutes .,you go dry off now .
you look good . . .,you too ma . . .
last february ?,mmm .
all right i ll do it .,that s my girl .
we won .,groovy !
monica .,and you know our friends how ?
yeah thanks for keeping an eye out .,okay .
that headboard .,nobody can hear it .
and you re from the future too ?,right .
god protect me .,not from me surely . . .
where are you ?,i m here with you .
would you tell me why ?,well majesty it is only a comedy .
i m pulling the green wire .,green ? did you say green ?
it s amazing there !,have you met charlotte ? my wife .
i know you did .,i knew you d know .
when i m dead or fucking .,paul said you were awfully sick .
fat sam is turning state s evidence .,what s that ?
let s have dinner first .,of course .
it was a wolf .,what ?
i m not upset .,jake what is it ?
you would ?,yes . but we can t .
sally ?,please ?
there s more . . .,i m finished .
they took the phones . . .,they . . .
see does he want some .,do you want some food ?
come on !,damn .
it isn t any better .,where s june today ?
you know that s not true .,we choose to believe it .
they re takin off .,huh ?
we leave in the morning ? !,yes miss .
now i,want to come again and stay
did mommy ever see this ?,no she never did .
any time bro .,thanks .
is that all there is to it ?,yeah .
just better .,beautiful .
what did you say your name is ?,anderson .
i ve often thought about going back .,you have ?
yes .,and they didn t take that watch ?
damn it . we lost the horses .,the . . .the gold . . .
i m leaving too .,but eve i would 
must be a pick up a rendezvous .,then where s the chip .
maybe . maybe not .,abort the cruise .
nothing .,you better take a drink .
red or white ?,both see you later .
well i don t . . .,wait . he left .
no . not me boss .,then don t have a drink .
did anyone else know about the baby ?,i can t tell you that .
he works on the movie .,no . don t tell me that .
you lied to me so many times ,reggie trust me once more please .
what s fine ?,i m off it !
it went down . i filed it .,you did ?
don t .,what ?
just didn t get around to it huh ?,oh tom please .
how bad off is he ?,brain injury .
on all what ?,on furtwangler .
you come highly recommended by herr seebach .,herr seebach was a very kind employer .
abrams . . .,abrams . yes . how are you today ?
that wasn t very scary .,no . it had nothing on this afternoon .
why ?,so i could go to him .
i ve got you come on go down .,rachel !
that ll make up the difference huh ?,huh ?
but could you try ?,no .
barks his concern .,no i m alright . i m alright .
called ? when ?,from the club . you didn t answer .
well does marcus have an alibi ?,yes .
and we moved out here for the quiet .,mmm .
they re looking at us .,they re gonna book us .
i don t want to talk about it .,why not ?
i promise .,never let go .
nicole ?,what mason ?
he called you ?,he came by .
i want to see lecktor now .,uh . . . sure . . .
good bye .,good bye .
also like sex with my wife .,would you shut up ?
i m not scared .,neither am i .
no thanks ?,thank you .
does that scare you ?,shut up .
push em back .,help me !
you re sure . . .,we found each other didn t we ?
young man you got me there ., n daniel webster will be there .
i thought it was tremendous .,i think it went on rather too long .
don t let em fight .,the dude wants it .
only you would think of that !,somebody has to !
i ve got something to tell you .,i want to hear it .
give him a minute clair .,hey . thanks buddy .
yes .,this is georgia .
how re ya doin max .,you mean until you showed up ?
you do not .,it s what i do .
uh . i saw that moving . . .,don t speak !
yes i yes i do .,no you don t .
i know but i ve been thinking ,i know but i ve been thinking 
how was school today ?,fine .
no don t do that .,oh don t be so shy .
hello is this pam ?,who is this ?
i m a cop from new york .,new york . . .
chicken shit . where were we ?,yea art thou there ?
they re jealous .,why ?
he ran away ?,actually he took the car .
jimmy did you touch her ?,i don t know .
are we having a bad night ?,let s talk in the car .
derek . . . stop .,why ?
how you doin brother ?,i don t really know where we are .
your body your call ., why is there no our here ? 
you mean you think i m cracking ?,no . i didn t say that .
everybody knows freddie miles .,is freddie in rome ?
yeah of course .,what s going on ?
keep moving ,now george 
i miss you mike .,why didn t you call ?
it will end tonight .,must you fight him ?
yeah .,you don t look half bad .
so really it s good luck .,good luck ?
no you don t want to hear that .,yes i do will .
what do you think ?,oh . eh i like it .
leave me alone conor . please .,you re not talking sense mara !
i ve found it .,found what ?
hey kid .,yeah ?
yes . it s a present .,from you ?
uh oh .,what ?
step outside pal .,love to 
what were you talking about the other day ?,i wasn t talking about anything .
don t let them take me steve ,i won t let anybody take you .
you killed him . . .,it s gonna be o .k .
right .,so it s on the street .
we need to make the trade tomorrow .,always in a rush .
where does he live ?,right here . bodega bay .
oh really ?,yes .
go back to sleep baby .,what did you say sir ?
you read my mind .,put your pilot on .
but this is my apartment .,get out !
a little resistance would be nice damn it .,please let me go with you .
will you stop ? jesus .,i just thought it might 
do you ?,of course i do .
did you sleep with her ?,i admit nothing .
at least they weren t lit .,i hate this fucking place .
aye sir .,plot a course for kronos lieutenant .
he made me lick it .,god you re sick .
please come please .,w . . .
that was our apartment .,have you been there recently ?
after the jack o lantern .,what about the bogyman ?
add it to the list .,so what do we do ?
i never saw it before .,positive ?
are you all right ?, . . . right as rain .
do you like the way i look ?,yes .
she didn t tell me a thing .,too bad you didn t bring your whip .
i did my best but well you know me,sure
i don t know . maybe eighteen grams .,in how long ? a week ?
very popular sir .,very popular . are you staying long ?
i don t believe this .,neither do i .
no .,you sure ?
i m making a tape .,we re excited .
of course . mister mcmurphy .,after you ma am .
i have to see bud kruger .,do you have an appointment sir ?
bit messy .,yeah .
what s your name asshole ?,fuck you santa claus !
it s shit .,you approve !
oh huh .,oh my !
that s fifteen by seven ?,that s it .
throw the third switch !,wait till he sees the bill .
magic . it was magic .,magic .
positive .,you sure ?
oh lots .,yeah that s right .
beer and weed is what i ve got .,both . now .
any other entrance ?,down in back .
i said welcome .,welcome ?
sorry . emergencies only .,what the hell would you call this ?
yes .,the scoop of the year !
would you like some coffee ?,no ! no thank you !
i am a god ! a god !,i am so sure .
oh come on dad . . .,no . upstairs .
before you go . . .,what ?
what ?,starting up .
you are a marked man .,how so .
paisley porter .,what do you mean ?
i never signed the form .,i did it for you .
don t be such a baby !,you just showing off for her !
she s got a . . .,does she have a pancreatic ulcer ?
what s wrong with him ?,must be the pressure .
i m not sure that s possible .,sure it is .
what happened to this car ?,what s it got to do with you ?
i don t know .,where s your dad ?
they think he s pixilated .,oh yes pixilated .
i never agreed to that .,bob you re lying !
hey watcha doing with that dog ?,he yours sir ?
that s right .,and what did your team do . . .
danny ?,what ?
then what do you want ?,i m here to offer you a job .
i want this sera . i need this !,please yuri .
well i just you know . . .,things got ya down ?
what ? ! what s happening ? ! !,you re officer of the watch george .
the leads are coming .,get em to me !
who s here ! ?,the guy ! the priest ! the mummy !
who is it ?,me . it s eddie .
excuse me sir . . . ?,yes ?
what are you doing here ?,saving you . move !
somebody pulled my tail .,oh you did it yourself !
want to dance ?,dance ? here ?
everything is all right john .,pick up the hat .
sorry am i interrupting anything ?,not really .
how about we go somewhere else ?,want to see my raft ?
maroon . i stole it .,what ?
mordechai ?,yes esther .
when can you get it here ?,i m doing a transfer now .
there s no plug to pull .,what ?
kay em you okay ?,i am now . i missed you thorgan .
i love you my brother .,i love you black .
yeah . remember quaid ?,sure .
is that who you re waiting for ?,no . . .
bathroom ?,round back .
well she . . .,she what ?
what s that got to do with it ?,why should you be the only one .
beat it !,you have your nerve ! here boy !
dick you should call bobby .,he doesn t want me at the funeral .
and who s gonna find out ?,the government
do you expect me to give myself up ?,why not ?
why do i have this life ?,have some chips you ll feel better .
what are you talking about ?,it s better you see for yourself 
for being on to dillinger .,what ?
he ll kill you .,you re not hearing me here 
you do it .,look norman i m not the shampoo girl .
oh don t go .,i m engaged for the evening .
why the fuck would you do that ?,i could smell another woman on him .
who s dying ?,your great aunt .
yeah ? and what else ?,what do you mean ?
yeah just an idea i had .,she s very beautiful .
to be a mother ?,yes .
he s not a moron .,and who s lydia ?
do you like that ?,yes .
sure paul . no hard feelings .,okay . great . i feel good .
maybe you don t want to remember .,what are you talking about ?
if ever i saw a sign from heaven !,john don t like him much .
no .,what was it like ?
i m okay .,are you sure ?
oh thank you . thank you .,when does the bus leave ?
that oughta do it .,yeah .
in the kitchen .,who d like to go and find otis ?
where d you get the blood ?,what blood ?
we got the digits baby .,what a surprise .
hello ?,bob ?
you want the rifle or the smith ?,the rifle .
how d you know i was here ?,well . . .
no .,it s over 
no news yet ?,no . no word .
you bet .,holly and april thanks for helping .
ok . ok .,doctor always try to do the right thing .
not this one . and not mitchell .,you killed him ?
jesus i don t know . . .,can you do it mike ?
the only proof is those bodies .,so what do we do ?
what did i say ?,that he s got a pretty face .
no .,what are you doing ?
what ? !,i said i m sorry !
yes but .,then shut up !
try another language .,which language ?
bob it s me .,oh hi elaine .
i ll call you .,fine .
chris ,i can t stay here .
they did not !,they did too !
when ?,the usual .
i ll never forget you said it .,it was a mistake .
baseball ?,uh huh . till my wing went bad .
do we have a gun in the car ?,i remember you now . shit .
the date .,what about it ?
no .,what is she at work ?
just wander .,where ?
patient .,what ?
to peace on earth major .,peace on earth .
what ?,your coat jacket is rising up in back .
sweetie they re almost ready .,you hear me girl ?
did he touch you ?,no but i did .
it s dead . try the pay phone .,do you have a dime ? a quarter ?
are they ready yet ?,no sweetie not yet .
except for small eyes .,except for small eyes .
everything seems to be in order .,hey wait a minute 
all of it ?,yes . might as well all of it .
you know the ten commandments ?,yes .
 . . . oz has spoken !,who are you ?
how much ?,half a million .
i want to go home .,for twenty thousand dollars .
 please please forgive me . . ., you know better . . .
everybody in ?,i guess so .
you promise you ll finish school ?,i ll make you very proud .
yes amy ?,why daddy you know my friend too !
who ?,tom grunemann . he wrote you some letters .
i don t understand .,i think you do .
can i have your autograph ?,you don t want my autograph .
what do i do now ?,take a deep breath and hold it .
we got to get another pilot .,for what ?
the only thing which exists is myself .,bomb ?
at at at at at .,knock it off !
what the fuck am i doing here .,what the fuck were you doing here ?
i don t smoke .,yes you do .
of course i did .,then it should be here .
anything ?,anything .
no .,you an indian ?
please .,you live with him .
so do i charley . for your sake .,what do you want me to do johnny ?
not at the moment no .,do you have any children ?
what ?,my parents baby sitter canceled .
holy shit .,what ?
she has confessed .,no .
can i go ?,you get his statement ?
i don t know .,what are you going to do now ?
don t talk to me about character .,watch the tone fella .
how did you know that ?,everybody knows freddie miles .
yeah ., minutes the television show ? 
are you lost ?,nope just came by to chat
what is it ? what s wrong ?,nothing it s just a minor glitch .
i ll take the south end ,fine 
i got gas bennie .,yeah tell me about it .
name me a better photographer .,but his leg !
where is it ? ?,i don t know ! !
when ?,after six .
i didn t know you had one .,yeah . well i do .
you . . .,you build it !
yes . he does .,billy said that ?
how much did he pay you ?,thirty thousand each that fucking cocksucker .
honey just leave it .,no there s . . .
josephine ,i guess she s not in here .
who knows you have these ?,only you . and the photo lab .
thanks .,glad to help .
something wrong ?,are you having an affair ?
you doing a story on this guy ?,maybe .
i m proud of you .,why ?
now you are confusing me mrs de moraes .,can it be that easy ?
no a major were you really ?,heard of harry lime ?
what ?,take the card .
now you stay put !,i ain t drunk honey .
sally for christ s sake .,anyone else ?
 i m not staying here !,let s talk to your husband 
yes .,well that s good enough for me .
oh he did .,what did he do to the uniform ? !
pris .,mine s j .f . sebastian .
how much for these five ?,you should talk to him about this .
what do you mean you don t know ?,i ll tell you later .
sweet grace ? what about her ?,about what you said this morning .
here .,here .
gimme that . that doesn t concern you .,i m sure it don t .
oh my god . was anyone hurt ?,i think everything is okay .
mm hm .,you know why right ?
not many laughs in this room eh ?,not many .
hello baby .,shut up . it s daddy . shithead .
we re superheroes .,really ? like captain amazing ?
will champagne help ?,not enough .
who made you do this ?,kill me !
buy some .,the same size ?
okay okay .,don t tell me okay . do it !
would i what ?,would you kill her ?
yes i will .,no you won t .
believe me i am .,brian he s coming around !
may we have the rings please ?,what ?
is that why klute didn t tell me ?,i guess he figured it was better .
 twenty c duracells . ,d not c .
yeah i know . pour em short .,has ray come in yet ?
i need more pressure in the shark tank .,okay .
they re turning around .,coming about then .
ricky s taken care of .,how so ?
won t you join me sir ?,no my health doesn t allow it .
my lucky charm .,feels like a cigarette lighter .
mr . . . ?,crane . ed crane .
i would ve stopped it .,how ?
don t take it personally .,how should i take it ?
well . . .,you want to kiss me . . .
hot . hot .,come in then .
but i do have a theory . . .,i thought you might .
hey dude you got a tattoo .,what does it say ?
that s right .,and this is william .
will she come back ?,probably .
thanks for your help on the glasses thing .,you re welcome . did you find them ?
and suppose they take the table away ?,what d you mean take the table away ?
milo ?,don t we have any chopsticks ?
i think you do .,why don t you tell me ?
where you know amanda from ?,jus from around the way .
the wind ,what ?
oh great !,hey there s your dad and shelly .
she isn t here .,when . . .when will she be back ?
you read me brewer ?,read you .
and say what ?,i ll say that i m travelling .
all right .,gimme that gimme that gimme that .
i m a good friend of hers .,how do i know you re not lying .
that isn t magic .,what ?
were you working for him last night ?,last night ?
huh ?,gold . you were going to 
i told you he isn t here .,out for the evening ?
i want to help you ., not the heart the watch . 
oh shit .,he can t walk walter !
coming .,i thought you said you were ready .
such as what ?,listen this ain t for publication .
what is enough ?,heart . give magua new heart .
or her or her or any of them ?,claudia you torture yourself .
south dakota but on the top .,oh . oh !
i need your help joyce .,where s ich ?
then how come it ain t done yet ?,i don t know boss .
what do you mean it ll find her ?,she said it was coming . . . .
frida carlton s dead .,oh no .
can i tell you something ?,yeah of course .
do you believe she really saw them ?,no but i can never tell her that .
that s worth fifteen grand to ya ?,maybe a couple million .
we are the choices we ve made robert .,to hell with you !
how be dat ?,i don t know who i am .
friend . baseball bat .,nice .
and anna . . .,did the police believe you ?
may i ?,what ?
you knew the deal . no contact .,who was that other guy ?
it s a gig .,i mean i need the money .
i don t know .,i think you have the wrong number .
stay home tonight !,oh paul 
i m feeling better .,are you ?
don t you know ?,no .
wait .,wait for what ?
why thank you .,you ve never been out of boston .
can i open it ?,sure . . .
you could run off them two cowboys .,i could run off them whores .
oh yes .,who for instance ?
peter kelson ?,yes . . . and you are ?
it s a fucking shame .,what is ?
maybe .,you know who ?
her brother .,wrong nick . it s drowning .
please what is it please ,just let me walk out ok ?
uh huh ?,let s leave here .
did it ever bother you ?,did it ever bother james bond ?
no just give you a splitting headache .,well it s not working .
it s too late . . .,it s not too late !
thanks for nothing ! i hate snakes !,i know the feeling . . .
hon ?,yah ?
john !,grace !
you live in that house behind the store ?,yes i do .
i think it went on rather too long .,i couldn t bear for it to end .
no .,no way .
who ?,the guy on the phone .
i didn t kill him ,then who did ?
i need some,young blood
yes ?,i found it .
do you believe in god ?,no . but i liked jesus style .
you see a tree is a living thing .,can you create life ?
captain our shields !,uhura signal our surrender .
bill ! bill ! good bye bill .,good bye darling .
there is ?,something s on .
holy shit .,holy shit !
and you didn t tell her ?,she didn t give me a chance .
have you seen him ?,i ain t seen him for a week .
 cause i didn t ask him .,aw shit thelma he s gonna kill you .
 . . .how you today ed ?,ok .
ordell pick up his bond ?,same as you . ten thousand .
robert i think you better just . . .,you re all full of shit !
i have a tiny apartment .,yeah i know it s small .
yeah ?,and i was wondering .
bensinger of the tribune .,open this door !
your breakfast monsieur .,i don t feel like any breakfast .
i want that shark alive .,so do i love .
she told you about . . .,her dog yes .
that sounds good .,two .
i am running faster ! !,hurry ! ! !
oh yes suzette .,madam will dress now it is late .
help me move him .,careful . check his pulse .
why is that ?,i was held up .
can i come in ?,he s not here .
i d believe him .,why ?
what is this ?,now you need me .
that s not entirely ,then what ? my boobs are too big ?
burke .,what s burke got to do with it ?
what can i do for you ?,i m linda lee .
do you know anything about building a house ?,no .
nellie told us about it .,we re not too late are we ?
he knows a lot about sean connery .,that s hardly a substitute .
what the fuck is wrong with you ?,think about how we got here !
oh ,come on fellows !
feels different doesn t it ?,what ?
yes .,good for you .
how come you keep askin ?,i keep thinking about him .
the only real truth is in the work .,you know what i m talking about .
he s thirty five years old .,you re a great architect albert .
what is your job title exactly ?,excuse me ?
yeah .,oh i would love to hear it .
put the gun down please boy .,give us your money kid .
jeffrey . . . this is wonderful .,it is ?
thank god wladek ! you re wounded .,it s a little cut nothing .
yeh i wrote a couple down .,two ? that s it ?
the woman you re stuck on .,there is no 
no ace .,half of everything is mine .
do you love drew ?,you mean like you loved mom ?
i have to go back .,why ?
forty seven . you d better floor it .,what do you think i m doin ? !
do you have it ?,yeah . it s right here .
you re trembling .,i never danced before in public .
what are those things ?,i don t know . . .
already gone .,who ?
michael give us a lift .,ok get in .
tom .,you too gerry .
this is a gift you ll not return .,get out of here !
forget it .,fork ah did ?
 super what ?,supernumerary . it means better than expected .
maude i must speak to you .,what is it harold ?
jack !,long time no see !
been waiting long ?,just got here .
that little old man .,oh that one . that s me grandfather .
tell us every detail .,you ve only known jake a few months .
whatcha doin ?,you scared me .
which one is your brother ?,the big one .
do you mind if i call you letitia ?,letty .
when ?,since before they stopped us las night .
i can back it up .,you better . please answer the question .
sorry .,looks like you know a song .
rangers .,go .
people are expendable to bodhi .,meaning you were expendable .
great .,how s austin ?
close the fucking door !,no !
of course .,then let s begin .
count em on one hand .,it s almost like a conspiracy huh ?
gimme a kiss .,really ?
where were you ?,i was in the city .
they ll be there waiting .,who will ?
something wrong ?,they ve got my amado .
so s the video camera .,at least she s alive .
i m sorry i can t .,listen dammit .
the point . . .,the point is captain u twenty two u 
no .,did you get her name ?
fourteen harry .,right . she s only fourteen .
they said send you downstairs .,who ?
no ., just kidding ?
i m getting out now .,don t do it .
i know it was bad .,how could you ? unless you were there .
you got what stuck ?,it .
maybe if you stopped stealing their panties .,okay there s more stan 
just souvenirs . towels and stuff .,you re leaving too ?
i can t let you in .,yeah i know .
what are they offering ?,ten thousand dollars .
we go around once .,bullshit .
who do ?,you do .
i m sure you have buzz .,wish me luck .
are you a physician ?,how is it you come to be here ?
hi helen . man you look great .,you look like . . . brian .
mary clarence perhaps you are correct .,i am ?
idiot . . .,good help is hard to find . . .
how did you find me ?,the phone call man . the phone call .
when did i ever ?,this man down at the drugstore . . .
was it great ?,it was okay .
oh no no !,that s all the crystal s gone dark .
what ?,you holding up alright ?
this time . . .,we ll work something out joe .
 just doing our job .,it s a farce .
nice landing .,thanks .
very simple earl .,there s nothing crazy about that is there ?
yeah but what an entrance !,dick weed .
about twenty five hundred dollars .,better make that a certified check walter .
i was trying to find the right time .,after i left ?
impossible ., . . .what a world .
and when might that be ?,now .
yes .,okay . good night .
oh please sod off .,okay .
oh yeah why you walking ?,my brothers won t give me a ride .
do not inhale .,i m not ready .
steve called for you .,steve ?
what ?,will you marry me ?
what she look like ?,she s like this high dark hair skinny
 american president ,how was it ?
ricky s taken care of .,taken care of ?
of course .,same thing .
johnny . . .,ronny ! our mother has recovered from death !
for how long ?,five seconds .
really ?,really .
when did this happen ?,ten minutes ago .
is there something i should know ?,just relax .
i volunteered .,you volunteered ?
did you ?,talk about work ? never !
okay . goodbye ellie .,goodbye alan .
but would we get the phones back ?,yeah again in theory but 
how about a drink ?,sure thanks .
it s a pardon from the governor .,let me see that .
well it s for a woman .,wife girlfriend or mother ?
hi .,hello . . .
she s a rare one .,how s business dave ?
i love you chuck .,you too .
what do you mean ?,feel this .
don t .,don t look ?
a girl can never wear enough eye shadow .,where s your bike ?
it s not my time of month .,should you see a doctor ?
you get the job done .,oh i see i thought you meant 
i know that charles .,more than your friend . family .
yeah . retirement ? paid sick leave ?,it s not that kind of job .
in the microwave .,make anyone cry today ?
he any good ?,oh yeah . . .
you touched it .,then have a donut 
i shared his cell !,but you were saying you were . . .
oh .,you re possessive .
probably .,do you like her ?
no .,then keep your mouth shut .
stop it .,i swear .
do you have a soul mate ?,define that .
you could have said no .,can t . once i signed up .
they ll have guns .,what ?
negative .,sir .
you call them if you want .,and what about you ?
fair enough .,so ?
when i was very young .,it seems like such a complicated game .
you will not then ?,i cannot .
what are you doing ?,just wanted to see .
thanks for the vote of confidence .,take care .
what ?,the new store ?
so you washed it off !,how about giving me another coat ?
i love you elaine .,i love you .
atta girl !,atta boy !
your majesty .,what do you love so much ?
do you love me ?,of course .
so you gotta boyfriend ?,why ? you wanna ask me out ?
do it .,yeah but where s the third guy ?
roper .,what ?
on a passenger ship in ?,if they knew what they were carrying .
jesus h . christ !,oh dear .
you re right . i know .,will your not getting off that easy .
what s early been in jail for ?,carryin a gun .
come on it works .,give me a fucking . . . . .
to a great weekend ,yeah a great weekend . forget the weather !
something happened didn t it ?,yes it did .
so . do you have a name ?,it s esther .
why not ? mmm ?,she d get angry .
get water !,fix raft first .
listen what are you doing later ?,fooling around ?
why ?,why not ?
did you go ?,on the counter .
you coming ?,in a minute . get us a table .
pay me and i shut up .,i haven t got it .
you should eat something you ll feel better .,i m not hungry .
have you gotten us a room yet ?,i haven t . no .
there you go best seat in the house .,you are going after mayor bennett .
you re not my real dad .,you take that back !
i was talking about my rug .,you re not interested in sex ?
you like kids ?,never saw the point of em .
i m getting ready to watch a video .,really ? what ?
what ?,meet again sometime .
oh really ? you wanna go look ?,yeah man .
can i take your coat ?,you re cold ?
nah just working the job .,i hear that .
i already know it mary .,how d you know that ?
nah .,want company ?
they ll be able to track it .,we have no choice .
what for ?,you know what for .
what the ,we ve fired on the chancellor s ship 
same car .,third time around .
does this make it with you ?,doesn t seem like our man does it ?
go about your duties .,yes doctor .
i love you bud .,i love you more .
what s that for ?,mom said i should .
don t worry about anything frankie five angels .,thanks tom . thanks .
the marriage !,well what does it matter to you ?
hi .,tough day .
what ?,you know what . the radio .
see ya .,later .
then why didn t they take it .,probably didn t have time .
six men means six guns .,no way .
say you got a lulu .,yeah . i better not get too close .
funny how things turn out isn t it ?,hilarious .
yes .,francesca ?
yeah . no not really .,let s work it .
oh ?,i guess it s getting serious .
are you sure ?,am i sure ?
how about another one ?,no thanks . . . .
i work for city hall .,really ? no kidding .
i called you know .,called ? when ?
the point is they want a man inside .,and i thought you were a bright woman .
we !,i ve got the real thing !
well ?,yeah .
i wrote the letter .,what did it say ?
yes .,what ? !
i can t see you tonight .,okay . . .
real charmer .,i ll take you down there .
if not you then who ?,mueller .
really ?,really .
baby . you are so hot !,howard !
i like michael .,you better not like him too much .
who said i m not getting recruited ?,your hot ass temper .
well why not ?,yeah earl warren ?
what do you want ?,what do you want ?
why ?,i feel sorry for him .
everything all right ?,great . super fantastic .
 do you know who i am ? , who are you ? 
the power went out in half the park .,how can this happen ?
hello . what is your name ?,long .
does that still go ?,we re not there yet .
this is pretty .,uh huh .
alone ?,no .
may i see you for a minute ?,i i was just going to lunch .
mrs . haydn . . .,this is george fox . . .
thanks for covering for me .,no problem but who s susan ?
let me alone .,you re crying animal .
i could never be a mother .,why not ?
have anything in mind ?,no . what you usually say i guess .
i told you,you don t care if i die
 for james ? ,goes right along with these two .
ice roll off i can shoot him .,no no no he s mine .
yes people make me restless .,even women ?
do you think miss channing would approve ?,i think she would cheer .
not what ?,he s not crazy .
